community,children,sex,age,treatment,deaths,persontime
GONGUEYE:KOTAKI:BOBOYE-4,359,0.51810586,29.467966,0,26,249791.5
GOROU BANDA:GUILLADJE:BOBOYE-2,43,0.60465115,29.488373,1,2,30464.5
GOROU GUINDE:BOUKI:LOGA-1,91,0.3956044,31.032967,0,7,81865.5
GOROU KAINA:KIOTA:BOBOYE-3,153,0.58169937,28.398693,1,4,117912.5
GOROUBERI YERIMA:TOULLOU MAIMASSA:LOGA-2,362,0.53038675,29.950275,0,31,237969.5
GOUBEY DEY (KOSSEY):KOSSEY:LOGA-1,94,0.53191489,29.287233,0,7,66551
GOUBEY DEY (TEGUEZE KOIRA):TEGUEZE KOIRA:LOGA-2,248,0.49596775,30.112904,1,12,168297
GOUBEY DEY SIDDO:TOULLOU MAIMASSA:LOGA-2,120,0.48333332,31.775,0,12,74404.5
GOUBEY:SOKORBE:LOGA-2,158,0.50632912,32.816456,0,12,129064.5
GOUBEYDEY MALLAM:MALLAN KOIRA:LOGA-2,52,0.57692307,30.057692,1,2,30634
GOULME:AYO KOIRA:LOGA-1,121,0.43801653,32.338844,1,6,86182.5
GOUMADEY I:KIOTA:BOBOYE-3,69,0.46376812,30.376812,0,3,49389
GOUMADEY II:KIOTA:BOBOYE-3,59,0.52542371,30.694916,1,1,43115.5
GOUMBI (KONGORE:GOUBEZENO:BOBOYE-2,78,0.47435898,31.846153,0,7,56450.5
GOUNINO KOIRA:TEGUEZE KOIRA:LOGA-2,196,0.47959185,33.612244,1,7,135131.5
GOUNIZE:DARSALAM:LOGA-1,319,0.52978057,31.789968,0,14,216339
GOUNOUBI KAINA:KOURINGUEL:BOBOYE-4,88,0.45454547,29.795454,0,3,57352
GOUNOUBI:KOFFO:BOBOYE-4,197,0.49238577,32.228428,1,2,118196
GOUTOUMBOU:MOUSSADEY BERI:LOGA-2,220,0.53181821,33.30909,0,15,174096.5
GUIDA KOIRA (dey):KOSSEY:LOGA-1,61,0.54098362,32.409836,0,1,40352.5
GUIDA MARIO:LOGA:LOGA-2,139,0.50359714,28.978416,1,11,90225.5
GUIDAL PEULH:KOBODEYE:BOBOYE-3,52,0.44230768,31.961538,0,1,31558.5
GUIDAL:KOBODEYE:BOBOYE-3,237,0.59071732,28.012659,1,17,179681.5
GUILLARE DJERMA:BIRNI:BOBOYE-1,199,0.6130653,34.899498,1,5,137648.5
GUINDE GOLMAWALI:TONKOSSARE:BOBOYE-5,72,0.44444445,27.541666,1,2,48985
GUIRI GOROU:KOKIRE MODI:LOGA-1,400,0.495,30.9,1,21,272440
GUIRIBANI KOIRA:KANKANDI:BOBOYE-3,84,0.52380955,27.166666,1,2,62755
HABIRI:BELANDE:BOBOYE-1,166,0.50602412,30.162651,0,8,107792.5
HAMDALAHI (SOUDJEDEY):KOURO BERI:LOGA-1,221,0.4841629,30.402716,0,5,134905.5
HAMDALLAHI HAMA:SABOULA:BOBOYE-5,135,0.53333336,28.274075,0,10,88297
HAMDILLAHI (FORSSEY):TOULLOU MAIMASSA:LOGA-2,66,0.54545456,28.636364,0,4,41868
HANDOU KOUARA:KOYGOLO:BOBOYE-4,107,0.57009345,31.093458,0,2,90689
HAOUKOY WINDI:LOGA:LOGA-2,118,0.47457626,31.152542,1,2,79825.5
HAOULAWAL PEULH:HAOULAWAL:BOBOYE-3,75,0.53333336,33.613335,1,1,62442
HAOULAWAL ZARMA:HAOULAWAL:BOBOYE-3,147,0.46938777,30.367348,1,5,130993
HAREY GAMEY (SAKEY:GOUBEZENO:BOBOYE-2,26,0.53846157,28.538462,1,0,17629
HARIKANASSOU (ALPHAGAY KOIRA):HARIKANASSOU:BOBOYE-3,123,0.47967479,33.772358,0,1,100740
